china_pred,nigeria_pred,sa_pred,yemen_pred,china_r2,nigeria_r2,sa_r2,yemen_r2,china_rmse,nigeria_rmse,sa_rmse,yemen_rmse
-0.10574412,-0.25383466,-0.3930962,0.25441396,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.2664441,-0.5514555,-0.39951935,0.1941047,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.11567357,-0.81025594,-0.34260046,0.24341495,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.33371362,-0.82705986,-0.34049264,0.18650524,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.09135142,-0.9345015,-0.315321,0.16230524,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.27396753,-0.9392972,-0.15839756,0.2584622,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.4393947,-0.89290136,-0.1826611,0.23090798,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.52477175,-0.94453514,-0.2254204,0.20801827,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.47625536,-0.94285256,-0.1203398,0.28533673,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.42992356,0.33914715,-0.12604424,0.23830521,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.0717482,0.19225654,-0.11316167,0.16683994,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.06795974,0.08660298,-0.01964584,0.23449562,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.1447216,-0.34007704,-0.023735493,0.1715164,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.15807423,-0.7421367,-0.117159046,0.16553992,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.16721746,-0.8260896,0.18408579,0.27323198,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.23251224,-0.83424443,0.11082674,0.24549277,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.18253395,-0.9200293,0.10158606,0.19723076,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.21976754,-0.93117464,0.10817941,0.2966678,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.3533875,-0.915657,0.03938702,0.25111073,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.5154736,-0.9317702,-0.060868133,0.21737579,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.42978638,-0.93115884,0.16524099,0.2918716,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.28098238,-0.9419951,-0.001358611,0.22253433,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.08787036,-0.93534184,-0.052350726,0.16321793,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
-0.036491245,-0.9329583,-0.0015689444,0.22295414,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.17144385,-0.9564322,-0.02957274,0.125613,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.21292393,-0.9384696,-0.14849378,0.07792276,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.21751267,-0.9205776,-0.059136912,0.18743236,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
0.24494165,-0.9299491,-0.16785745,0.1860516,0.6298,0.8753,0.6958,0.805,0.4005,0.1894,0.3375,0.3126
